gate_id,gate_name,gate_kind,applies_to,purpose_decision,membranes_enforced,enforced_surface_hex,enforcement_mechanism,allowed_actor_kinds,required_refs_depends_on,required_commitment_objects,required_evidence,verification_profile_or_suite,success_outputs,success_state_effect,failure_conditions,stop_triggers_on_failure,relief_valve,routing_portal_on_block,notes,contract_refs,spec_refs,plan_refs
G-HEX-BOUNDARY-PASS,Hexagonal boundary compliance,accept,code.domain,Verify domain core has no infrastructure dependencies.,Architectural,oracle_runner,static_analysis,AGENT,Candidate; OracleSuite,OracleRunCompleted (hex-boundary),Boundary audit report,SR-SUITE-*,HexBoundaryVerified,Domain purity confirmed,Infrastructure imports in domain core,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,C-ARCH-1 enforcement.,"C-ARCH-1",SR-SPEC §3.1,D-07
G-CTX-COMPILE-PASS,Context compilation deterministic,accept,"code.domain; code.orchestration",Verify context compilation from refs is deterministic.,Ontological; Accountability,oracle_runner,property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (ctx-compile),Context compilation proof,SR-SUITE-*,CtxCompileVerified,Context compilation determinism proven,Non-deterministic context compilation,ORACLE_FLAKE,none,GovernanceChangePortal,C-CTX-2 enforcement.,"C-CTX-2",SR-SPEC §3.2.1.1,"D-08; D-23"
G-NO-GHOST-INPUTS-PASS,No ghost inputs,accept,code.orchestration,Verify iteration context derived only from IterationStarted.refs[].,Accountability; Authority & Integrity,oracle_runner,property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (no-ghost),Ghost input detection report,SR-SUITE-*,NoGhostInputsVerified,No ghost inputs detected,Ghost inputs detected (undeclared context sources),ORACLE_GAP,none,GovernanceChangePortal,C-LOOP-2 enforcement.,"C-LOOP-2",SR-SPEC §3.2.1.1,D-23
G-APPEND-ONLY-PASS,Append-only enforcement,accept,code.persistence,Verify event store is strictly append-only.,Accountability; Authority & Integrity,oracle_runner,property_testing; schema_check,AGENT,Candidate; OracleSuite,OracleRunCompleted (append-only),Append-only proof,SR-SUITE-STRICT-FULL,AppendOnlyVerified,Event store append-only proven,Mutation or deletion detected,ORACLE_TAMPER,none,GovernanceChangePortal,C-EVT-2 enforcement.,"C-EVT-2",SR-SPEC §3.3.1,D-10
G-REPLAY-DETERMINISM-PASS,Replay determinism verified,accept,"code.persistence; test.e2e",Verify event replay produces identical state.,Accountability; Isomorphic,oracle_runner,property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (replay-determinism),Replay determinism proof,SR-SUITE-STRICT-FULL,ReplayDeterminismVerified,Replay determinism proven,Non-deterministic replay,ORACLE_FLAKE,none,GovernanceChangePortal,C-EVT-7 enforcement.,"C-EVT-7",SR-SPEC §3.3.1,"D-11; D-36"
G-STALENESS-PROPAGATION-PASS,Staleness propagation correct,accept,code.persistence,Verify staleness traverses depends_on edges correctly.,Ontological; Operational,oracle_runner,property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (staleness-prop),Staleness propagation proof,SR-SUITE-STRICT-FULL,StalenessPropagationVerified,Staleness mechanics correct,Incorrect staleness propagation,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,C-EVT-6 enforcement.,"C-EVT-6",SR-SPEC §3.3.2,D-12
G-CONTENT-ADDRESS-PASS,Content addressing verified,accept,code.evidence,Verify evidence bundles are content-addressed.,Accountability; Authority & Integrity,oracle_runner,property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (content-address),Content addressing proof,SR-SUITE-*,ContentAddressVerified,Content addressing proven,Content address mismatch,EVIDENCE_MISSING,none,GovernanceChangePortal,C-EVID-3 enforcement.,"C-EVID-3",SR-SPEC §3.4,"D-14; D-20"
G-MANIFEST-COMPLETE-PASS,Evidence manifest complete,accept,code.evidence,Verify evidence manifests contain required fields.,Accountability,oracle_runner,schema_validation,AGENT,Candidate; OracleSuite,OracleRunCompleted (manifest-check),Manifest validation report,SR-SUITE-*,ManifestCompleteVerified,Manifest completeness proven,Missing required manifest fields,EVIDENCE_MISSING,none,GovernanceChangePortal,C-EVID-1 enforcement.,"C-EVID-1",SR-SPEC §3.4,D-15
G-RETRIEVAL-PASS,Evidence retrieval verified,accept,"code.evidence; code.api",Verify evidence can be retrieved by content hash.,Accountability,oracle_runner,property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (retrieval-test),Retrieval proof,SR-SUITE-STRICT-FULL,RetrievalVerified,Evidence retrievability proven,Evidence not retrievable,EVIDENCE_MISSING,none,GovernanceChangePortal,C-EVID-5 enforcement.,"C-EVID-5",SR-SPEC §3.4,D-20
G-SECURITY-PASS,Security checks pass,accept,"code.evidence; ops.deploy",Verify security requirements met.,Authority & Integrity; Resource,oracle_runner,security_scan,AGENT,Candidate; OracleSuite,OracleRunCompleted (security-scan),Security audit report,SR-SUITE-STRICT-FULL,SecurityVerified,Security requirements met,Security vulnerabilities (severity >= HIGH),SECURITY_CRITICAL,none,ReleaseApprovalPortal,Security-critical deliverables.,"C-TB-1; C-TB-2",SR-SPEC §3.6,"D-16; D-32"
G-AUTH-PASS,Authentication/authorization verified,accept,"code.api; code.ui",Verify OIDC auth works correctly.,Authority & Integrity,oracle_runner,integration_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (auth-test),Auth test report,SR-SUITE-*,AuthVerified,Auth integration proven,Auth failures; bypass detected,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,Identity integration.,"C-TB-1; C-TB-2",SR-SPEC §3.6,"D-17; D-28"
G-CONTRACT-PASS,API contract verified,accept,code.api,Verify API endpoints conform to contract.,Isomorphic; Ontological,oracle_runner,contract_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (contract-test),API contract report,SR-SUITE-STRICT-FULL,ContractVerified,API contract compliance proven,Contract violations,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,API conformance.,"C-META-1",SR-SPEC §3.2.2,"D-18; D-19"
G-ACTOR-KIND-PASS,Actor kind enforcement verified,accept,"code.api; code.ui",Verify human-only endpoints reject agent/system actors.,Authority & Integrity,oracle_runner,integration_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (actor-kind),Actor kind audit,SR-SUITE-STRICT-FULL,ActorKindVerified,Actor kind enforcement proven,Human-only endpoint accepts non-human,ORACLE_TAMPER,none,GovernanceChangePortal,C-TB-1/2/4 enforcement.,"C-TB-1; C-TB-2; C-TB-4",SR-SPEC §3.6,"D-19; D-30"
G-SYSTEM-ONLY-PASS,SYSTEM-only enforcement verified,accept,code.orchestration,Verify SYSTEM-only events reject human/agent actors.,Authority & Integrity,oracle_runner,integration_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (system-only),SYSTEM-only audit,SR-SUITE-STRICT-FULL,SystemOnlyVerified,SYSTEM-only enforcement proven,SYSTEM-only event accepts non-system,ORACLE_TAMPER,none,GovernanceChangePortal,C-TB-3 enforcement.,"C-TB-3",SR-SPEC §3.2.1.1,D-22
G-BUDGET-ENFORCEMENT-PASS,Budget enforcement verified,accept,code.orchestration,Verify budget limits trigger BUDGET_EXHAUSTED correctly.,Resource; Operational,oracle_runner,property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (budget-test),Budget enforcement proof,SR-SUITE-STRICT-FULL,BudgetEnforcementVerified,Budget enforcement proven,Budget limit bypass,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,C-LOOP-1 enforcement.,"C-LOOP-1",SR-SPEC §3.2.1,D-22
G-SANDBOX-ISOLATION-PASS,Sandbox isolation verified,accept,code.oracle,Verify oracle runner sandbox isolation.,Authority & Integrity; Resource,oracle_runner,integration_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (sandbox-test),Sandbox isolation proof,SR-SUITE-STRICT-FULL,SandboxIsolationVerified,Sandbox isolation proven,Sandbox escape; network access when disabled,ORACLE_ENV_MISMATCH,none,GovernanceChangePortal,C-OR-3 enforcement.,"C-OR-3",SR-SPEC §3.5.2,D-24
G-INTEGRITY-DETECTION-PASS,Integrity condition detection verified,accept,code.oracle,Verify integrity conditions are correctly detected and raised.,Authority & Integrity; Accountability,oracle_runner,property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (integrity-detect),Integrity detection proof,SR-SUITE-STRICT-FULL,IntegrityDetectionVerified,Integrity detection proven,Integrity condition not detected,ORACLE_GAP,none,GovernanceChangePortal,C-OR-4/5/6/7 enforcement.,"C-OR-4; C-OR-5; C-OR-6; C-OR-7",SR-SPEC §3.5.3,D-27
G-MESSAGING-RELIABLE-PASS,Messaging reliability verified,accept,code.orchestration,Verify NATS messaging reliability.,Operational,oracle_runner,integration_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (messaging-test),Messaging reliability report,SR-SUITE-*,MessagingReliableVerified,Messaging reliability proven,Message loss; ordering violations,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,Event relay reliability.,N/A,SR-SPEC §3.3.3,D-21
G-DEPLOY-PASS,Deployment succeeds,accept,ops.deploy,Verify deployment stack deploys successfully.,Operational,oracle_runner,deploy_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (deploy-test),Deploy log,SR-SUITE-OPS,DeployVerified,Deployment proven,Deployment failure,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,Ops deployment.,"C-ARCH-2",SR-SPEC §3.7,"D-31; D-32"
G-HEALTH-PASS,Health checks pass,accept,ops.deploy,Verify all services report healthy.,Operational,oracle_runner,health_check,AGENT,Candidate; OracleSuite,OracleRunCompleted (health-check),Health check report,SR-SUITE-OPS,HealthVerified,System health proven,Services unhealthy,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,System health.,N/A,SR-SPEC §3.7,D-31
G-IDEMPOTENCY-PASS,Idempotency verified,accept,ops.deploy,Verify deployment is idempotent.,Operational; Isomorphic,oracle_runner,property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (idempotency),Idempotency proof,SR-SUITE-OPS,IdempotencyVerified,Idempotency proven,Non-idempotent deployment,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,Deployment idempotency.,N/A,SR-SPEC §3.7,D-31
G-INIT-PASS,Initialization succeeds,accept,ops.deploy,Verify bootstrap/init scripts complete successfully.,Operational,oracle_runner,deploy_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (init-test),Init log,SR-SUITE-OPS,InitVerified,Initialization proven,Init failure,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,Bootstrap automation.,N/A,SR-SPEC §3.7,D-32
G-LOGGING-PASS,Logging operational,accept,ops.observe,Verify logging pipeline works.,Accountability,oracle_runner,integration_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (logging-test),Logging report,SR-SUITE-*,LoggingVerified,Logging proven,Logging failure,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,Observability.,"C-EVT-1",SR-SPEC §3.7,D-33
G-UI-FUNCTIONAL-PASS,UI functional tests pass,accept,code.ui,Verify UI components function correctly.,Operational,oracle_runner,ui_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (ui-test),UI test report,SR-SUITE-*,UIFunctionalVerified,UI functionality proven,UI test failures,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,UI verification.,N/A,SR-SPEC §3.7,"D-29; D-30"
G-PORTAL-WORKFLOW-PASS,Portal workflows function correctly,accept,code.ui,Verify portal UI workflows complete correctly.,Authority & Integrity; Operational,oracle_runner,integration_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (portal-workflow),Portal workflow report,SR-SUITE-STRICT-FULL,PortalWorkflowVerified,Portal workflows proven,Portal workflow failures,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,Portal UI verification.,"C-TB-4",SR-SPEC §3.6,D-30
G-HAPPY-PATH-PASS,Happy path e2e passes,accept,test.e2e,Verify happy path end-to-end scenario completes.,Operational; Accountability,oracle_runner,e2e_testing,AGENT,Candidate; OracleSuite; Full system,OracleRunCompleted (happy-path),Happy path proof,SR-SUITE-STRICT-FULL,HappyPathVerified,Happy path proven,Happy path failure,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,E2E happy path.,N/A,SR-SPEC §3.7,D-34
G-FAILURE-MODE-PASS,Failure modes verified,accept,test.e2e,Verify failure modes trigger correctly.,Operational; Authority & Integrity,oracle_runner,e2e_testing,AGENT,Candidate; OracleSuite; Full system,OracleRunCompleted (failure-mode),Failure mode proof,SR-SUITE-STRICT-FULL,FailureModeVerified,Failure modes proven,Failure mode not triggered,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,E2E failure modes.,N/A,SR-SPEC §3.7,D-35
G-INTEGRITY-TRIGGER-PASS,Integrity triggers verified,accept,test.e2e,Verify integrity conditions trigger stop-the-line.,Authority & Integrity; Accountability,oracle_runner,e2e_testing,AGENT,Candidate; OracleSuite; Full system,OracleRunCompleted (integrity-trigger),Integrity trigger proof,SR-SUITE-STRICT-FULL,IntegrityTriggerVerified,Integrity triggers proven,Integrity condition not triggered,ORACLE_GAP,none,GovernanceChangePortal,E2E integrity.,"C-OR-4; C-OR-5; C-OR-6; C-OR-7",SR-SPEC §3.5.3,D-35
G-STATE-RECONSTRUCTION-PASS,State reconstruction verified,accept,test.e2e,Verify state can be reconstructed from event stream.,Accountability; Isomorphic,oracle_runner,e2e_testing,AGENT,Candidate; OracleSuite; Full system,OracleRunCompleted (state-reconstruct),State reconstruction proof,SR-SUITE-STRICT-FULL,StateReconstructionVerified,State reconstruction proven,State mismatch,ORACLE_FLAKE,none,GovernanceChangePortal,C-EVT-7 enforcement.,"C-EVT-7",SR-SPEC §3.3.1,D-36
G-DOC-COHERENT,Document coherence verified,accept,governance.*,Verify governance document is internally coherent and cross-referenced.,Ontological; Change,oracle_runner,schema_validation; link_check,AGENT,Candidate; OracleSuite,OracleRunCompleted (coherence-check),Coherence audit report,SR-SUITE-DOCS,DocCoherenceVerified,Document coherence proven,Coherence violations; broken refs,REPEATED_FAILURE (if N>=3),waiver,GovernanceChangePortal,S11 coherence.,N/A,SR-PARADIGM S11,D-01
G-MIGRATION-SAFE,Migration safety verified,accept,code.persistence,Verify database migrations are safe and reversible.,Operational; Change,oracle_runner,migration_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (migration-test),Migration log,SR-SUITE-*,MigrationSafeVerified,Migration safety proven,Destructive migration; irreversible change,REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,Schema migration safety.,N/A,SR-SPEC §3.3,D-09
G-GOV-START,Governance work start authorized,work_start,governance.*,Authorize start of governance-touching work.,Change; Authority & Integrity,driving_port,portal_approval,HUMAN,SR-TYPES; SR-CONTRACT; SR-SPEC; SR-DIRECTIVE; SR-PLAN,GovernanceChangeApproval (if required),N/A,,Governance work authorized,Iteration may start for governance work,No approval for governance-touch work,GOVERNANCE_TOUCH,approval,GovernanceChangePortal,Governance-touch requires portal.,N/A,N/A,D-01
G-GOV-RELEASE,Governance work release authorized,release,governance.*,Authorize release of governance-touching work.,Change; Authority & Integrity; Accountability,portal,portal_approval,HUMAN,SR-TYPES; SR-CONTRACT; SR-SPEC; SR-DIRECTIVE; SR-PLAN; Candidate,"ApprovalRecorded; EvidenceBundleRecorded; (Exceptions acknowledged)",Coherence audit; verification evidence,,GovernanceChangeApproval + ReleaseApproval,Candidate may become Shippable,No approval; evidence incomplete,N/A,approval,GovernanceChangePortal,Governance release requires portal.,"C-TB-4",SR-SPEC §3.6,D-01
G-PHASE-0-RELEASE,Phase 0 release gate,phase_release,P0-FOUNDATION,Authorize Phase 0 completion and Phase 1 start.,Operational; Accountability,portal,portal_approval,HUMAN,All P0 deliverable candidates; evidence bundles,All P0 candidates Verified; PhaseGateApproval,All P0 evidence bundles,,PhaseGateApproval,Phase 1 unlocked,P0 deliverables not Verified; no approval,N/A,approval,PhaseGatePortal,Phase 0 gate.,N/A,N/A,"D-02; D-03; D-04"
G-PHASE-1-COMPLETE,Phase 1 completion gate,phase_complete,P1-DOMAIN-CORE,Confirm Phase 1 deliverables verified.,Operational; Architectural,state_machine,state_check,SYSTEM,All P1 deliverable candidates,All P1 candidates Verified,All P1 evidence bundles,,Phase 1 complete,Phase 2 dependencies satisfied,P1 deliverables not Verified,N/A,wait,N/A,Phase 1 check.,N/A,N/A,"D-05; D-06; D-07; D-08"
G-PHASE-2-COMPLETE,Phase 2 completion gate,phase_complete,P2-PERSISTENCE,Confirm Phase 2 deliverables verified.,Operational; Accountability,state_machine,state_check,SYSTEM,All P2 deliverable candidates,All P2 candidates Verified,All P2 evidence bundles,,Phase 2 complete,Phase 3 dependencies satisfied,P2 deliverables not Verified,N/A,wait,N/A,Phase 2 check.,N/A,N/A,"D-09 through D-16"
G-PHASE-3-COMPLETE,Phase 3 completion gate,phase_complete,P3-API,Confirm Phase 3 deliverables verified.,Operational; Authority & Integrity,state_machine,state_check,SYSTEM,All P3 deliverable candidates,All P3 candidates Verified,All P3 evidence bundles,,Phase 3 complete,Phase 4 dependencies satisfied,P3 deliverables not Verified,N/A,wait,N/A,Phase 3 check.,N/A,N/A,"D-17; D-18; D-19; D-20"
G-PHASE-4-COMPLETE,Phase 4 completion gate,phase_complete,P4-ORCHESTRATION + P4-ORACLES,Confirm Phase 4 deliverables verified.,Operational; Authority & Integrity,state_machine,state_check,SYSTEM,All P4 deliverable candidates,All P4 candidates Verified,All P4 evidence bundles,,Phase 4 complete,Phase 5 dependencies satisfied,P4 deliverables not Verified,N/A,wait,N/A,Phase 4 check.,N/A,N/A,"D-21 through D-27"
G-PHASE-5-COMPLETE,Phase 5 completion gate,phase_complete,P5-UI + P5-OPS,Confirm Phase 5 deliverables verified.,Operational,state_machine,state_check,SYSTEM,All P5 deliverable candidates,All P5 candidates Verified,All P5 evidence bundles,,Phase 5 complete,Phase 6 dependencies satisfied,P5 deliverables not Verified,N/A,wait,N/A,Phase 5 check.,N/A,N/A,"D-28 through D-33"
G-DOMAIN-RELEASE,Domain core release gate,release,P1-DOMAIN-CORE,Authorize domain core release after human review.,Architectural; Authority & Integrity; Accountability,portal,portal_approval,HUMAN,All P1 deliverable candidates; evidence bundles; architecture review,All P1 candidates Verified; PhaseGateApproval (architecture review),All P1 evidence bundles; architecture review notes,,PhaseGateApproval + ReleaseApproval for each,Candidates may become Shippable,No approval; architecture concerns,N/A,approval,PhaseGatePortal,Domain core requires architecture review.,"C-ARCH-1",SR-SPEC §3.1,"D-05; D-06; D-07; D-08"
G-PERSIST-RELEASE,Persistence release gate,release,P2-PERSISTENCE,Authorize persistence layer release.,Accountability; Isomorphic; Authority & Integrity,portal,portal_approval,HUMAN,All P2-PERSISTENCE deliverable candidates; evidence bundles,All candidates Verified; PhaseGateApproval,All evidence bundles; replay determinism proof,,PhaseGateApproval + ReleaseApproval for each,Candidates may become Shippable,No approval; replay concerns,N/A,approval,PhaseGatePortal,Persistence requires replay proof.,"C-EVT-2; C-EVT-7",SR-SPEC §3.3,"D-09 through D-13"
G-EVIDENCE-RELEASE,Evidence storage release gate,release,P2-PERSISTENCE (evidence),Authorize evidence storage release.,Accountability; Authority & Integrity,portal,portal_approval,HUMAN,All P2-EVIDENCE deliverable candidates; evidence bundles,All candidates Verified; PhaseGateApproval,All evidence bundles; content addressing proof,,PhaseGateApproval + ReleaseApproval for each,Candidates may become Shippable,No approval; evidence integrity concerns,N/A,approval,PhaseGatePortal,Evidence requires integrity proof.,"C-EVID-1; C-EVID-3; C-EVID-5",SR-SPEC §3.4,"D-14; D-15; D-16"
G-API-RELEASE,API release gate,release,P3-API,Authorize API layer release.,Authority & Integrity; Isomorphic,portal,portal_approval,HUMAN,All P3 deliverable candidates; evidence bundles,All candidates Verified; PhaseGateApproval,All evidence bundles; API contract report; actor kind audit,,PhaseGateApproval + ReleaseApproval for each,Candidates may become Shippable,No approval; API contract concerns,N/A,approval,PhaseGatePortal,API requires contract verification.,N/A,SR-SPEC §3.2.2,"D-17; D-18; D-19; D-20"
G-ORCH-RELEASE,Orchestration release gate,release,P4-ORCHESTRATION,Authorize orchestration layer release.,Operational; Authority & Integrity; Resource,portal,portal_approval,HUMAN,All P4-ORCH deliverable candidates; evidence bundles,All candidates Verified; PhaseGateApproval,All evidence bundles; SYSTEM-only proof; budget enforcement proof,,PhaseGateApproval + ReleaseApproval for each,Candidates may become Shippable,No approval; loop governance concerns,N/A,approval,PhaseGatePortal,Orchestration is critical path.,"C-LOOP-1; C-LOOP-2; C-TB-3",SR-SPEC §3.2.1,"D-21; D-22; D-23"
G-ORACLE-RELEASE,Oracle release gate,release,P4-ORACLES,Authorize oracle layer release.,Authority & Integrity; Accountability,portal,portal_approval,HUMAN,All P4-ORACLE deliverable candidates; evidence bundles,All candidates Verified; PhaseGateApproval,All evidence bundles; determinism proof; integrity detection proof,,PhaseGateApproval + ReleaseApproval for each,Candidates may become Shippable,No approval; oracle integrity concerns,N/A,approval,PhaseGatePortal,Oracle is integrity-critical.,"C-OR-1; C-OR-4; C-OR-5; C-OR-6; C-OR-7",SR-SPEC §3.5,"D-24; D-25; D-26; D-27"
G-UI-RELEASE,UI release gate,release,P5-UI,Authorize UI layer release.,Operational; Authority & Integrity,portal,portal_approval,HUMAN,All P5-UI deliverable candidates; evidence bundles,All candidates Verified; ReleaseApproval,All evidence bundles; portal workflow proof,,ReleaseApproval for each,Candidates may become Shippable,No approval,N/A,approval,ReleaseApprovalPortal,UI release.,N/A,SR-SPEC §3.7,"D-28; D-29; D-30"
G-OPS-RELEASE,Operations release gate,release,P5-OPS,Authorize operations layer release.,Operational; Resource,portal,portal_approval,HUMAN,All P5-OPS deliverable candidates; evidence bundles,All candidates Verified; PhaseGateApproval,All evidence bundles; self-host boot proof,,PhaseGateApproval + ReleaseApproval for each,Candidates may become Shippable,No approval; ops concerns,N/A,approval,PhaseGatePortal,Ops requires self-host proof.,N/A,SR-SPEC §3.7,"D-31; D-32; D-33"
